English,Italian
about,di
acid,acido
across,attraverso
act,atto
addition,aggiunta
adjustment,Regolazione
advertisement,annuncio pubblicitario
after,dopo
again,ancora
against,contro
agreement,accordo
air,aria
all,tutti
almost,quasi
among,tra
amount,Quantità
amusement,divertimento
and,e
angry,arrabbiato
animal,animale
answer,Rispondere
ant,formica
any,qualunque
apparatus,Apparato
apple,Mela
approval,approvazione
arch,arco
argument,discussione
arm,braccio
army,esercito
art,arte
as,come
at,in
attack,attacco
attempt,tentativo
attention,Attenzione
attraction,attrazione
authority,autorità
automatic,automatico
baby,bambino
back,Indietro
bad,cattivo
bag,borsa
balance,equilibrio
ball,sfera
band,gruppo musicale
base,base
basin,bacino
basket,cestino
bath,bagno
be,essere
beautiful,bellissimo
because,perché
bed,letto
bee,ape
before,prima
behaviour,comportamento
belief,credenza
bell,campana
bent,piegato
berry,bacca
between,fra
bird,uccello
birth,nascita
bit,po
bite,morso
bitter,amaro
black,Nero
blade,lama
blood,sangue
blow,soffio
blue,blu
board,asse
boat,barca
body,corpo
boiling,bollente
bone,osso
book,prenotare
boot,stivale
bottle,bottiglia
box,scatola
boy,ragazzo
brain,cervello
brake,freno
branch,ramo
brass,ottone
bread,pane
breath,respiro
brick,mattone
bridge,ponte
bright,luminoso
broken,rotte
brother,fratello
brown,Marrone
brush,spazzola
bucket,secchio
building,costruzione
bulb,lampadina
burn,bruciare
burst,scoppiare
business,Attività commerciale
but,ma
butter,Burro
button,pulsante
by,di
cake,torta
camera,telecamera
canvas,tela
card,carta
care,cura
carriage,carrozza
cart,carrello
cat,gatto
cause,causa
certain,certo
chain,catena
chalk,gesso
chance,opportunità
change,modificare
cheap,a buon mercato
cheese,il formaggio
chemical,chimico
chest,petto
chief,capo
chin,mento
church,Chiesa
circle,cerchio
clean,pulito
clear,chiaro
clock,orologio
cloth,stoffa
cloud,nube
coal,carbone
coat,cappotto
cold,freddo
collar,collare
colour,colore
comb,pettine
comfort,comfort
committee,Comitato
common,comune
company,azienda
comparison,confronto
competition,concorrenza
complete,completare
complex,complesso
condition,condizione
connection,connessione
conscious,cosciente
control,controllo
cook,cucinare
copper,rame
copy,copia
cord,corda
cork,sughero
cotton,cotone
cough,tosse
country,nazione
cover,copertina
cow,mucca
crack,crepa
credit,credito
crime,crimine
cruel,crudele
crush,schiacciare
cry,gridare
cup,tazza
current,attuale
curtain,tenda
curve,curva
cushion,cuscino
cut,tagliare
damage,danno
danger,Pericolo
dark,scuro
daughter,figlia
day,giorno
dead,morto
dear,caro
death,Morte
debt,debito
decision,decisione
deep,profondo
degree,livello
delicate,delicato
dependent,dipendente
design,progetto
desire,desiderio
destruction,distruzione
detail,dettaglio
development,sviluppo
different,diverso
digestion,digestione
direction,direzione
dirty,sporco
discovery,scoperta
discussion,discussione
disease,patologia
disgust,disgusto
distance,distanza
distribution,distribuzione
division,divisione
do,fare
dog,cane
door,porta
doubt,dubbio
down,in basso
drain,drenare
drawer,cassetto
dress,vestire
drink,bere
driving,guida
drop,gocciolare
dry,asciutto
dust,polvere
ear,orecchio
early,presto
earth,terra
east,est
edge,bordo
education,formazione scolastica
effect,effetto
egg,uovo
elastic,elastico
electric,elettrico
end,fine
engine,motore
enough,abbastanza
equal,pari
error,errore
even,anche
event,evento
ever,sempre
every,ogni
example,esempio
exchange,scambio
existence,esistenza
expansion,espansione
experience,Esperienza
expert,esperto
eye,occhio
face,viso
fact,fatto
fall,cade
FALSE,Falso
family,famiglia
far,lontano
farm,azienda agricola
fat,Grasso
father,padre
fear,paura
feather,piuma
feeble,flebile
feeling,sensazione
female,femmina
fertile,fertile
fiction,Fiction
field,campo
fight,combattere
finger,dito
fire,fuoco
first,primo
fish,pesce
fixed,fisso
flag,bandiera
flame,fiamma
flat,piatto
flight,volo
floor,pavimento
flower,fiore
fly,volare
fold,piega
food,cibo
foolish,folle
foot,piede
for,per
force,forza
fork,forchetta
form,modulo
forward,inoltrare
fowl,pollo
frame,telaio
free,libero
frequent,frequente
friend,amico
from,a partire dal
front,davanti
fruit,frutta
full,completo
future,futuro
garden,giardino
general,generale
get,ottenere
girl,ragazza
give,dare
glove,guanto
go,andare
goat,capra
gold,oro
good,Buono
government,governo
grain,grano
grass,erba
great,grande
green,verde
grey,grigio
grip,presa
group,gruppo
growth,crescita
guide,guida
gun,pistola
hair,capelli
hammer,martello
hand,mano
hanging,sospeso
happy,felice
harbour,porto
hard,difficile
harmony,armonia
hat,cappello
hate,odiare
have,avere
he,lui
head,testa
healthy,sano
hearing,udito
heart,cuore
heat,calore
help,aiuto
here,qui
high,alto
history,storia
hole,buco
hollow,vuoto
hook,gancio
hope,speranza
horn,corno
horse,cavallo
hospital,Ospedale
hour,ora
house,Casa
how,come
humour,umorismo
I,io
ice,Ghiaccio
idea,idea
if,Se
ill,malato
important,importante
impulse,impulso
in,in
increase,aumento
industry,industria
ink,inchiostro
insect,insetto
instrument,strumento
insurance,assicurazione
interest,interesse
invention,invenzione
iron,ferro da stiro
island,isola
jelly,gelatina
jewel,gioiello
join,partecipare
journey,viaggio
judge,giudice
jump,salto
keep,conservare
kettle,bollitore
key,chiave
kick,calcio
kind,tipo
kiss,bacio
knee,ginocchio
knife,coltello
knot,nodo
knowledge,conoscenza
land,sbarcare
language,linguaggio
last,Ultimo
late,tardi
laugh,ridere
law,legge
lead,piombo
leaf,foglia
learning,apprendimento
leather,pelle
left,sinistra
leg,gamba
let,permettere
letter,lettera
level,livello
library,biblioteca
lift,sollevare
light,leggero
like,come
limit,limite
line,linea
linen,biancheria
lip,labbro
liquid,liquido
list,elenco
little,poco
living,vita
lock,serratura
long,lungo
look,Guarda
loose,sciolto
loss,perdita
loud,ad alta voce
love,amore
low,basso
machine,macchina
make,fare
male,maschio
man,uomo
manager,gestore
map,carta geografica
mark,marchio
market,mercato
married,sposato
mass,messa
match,incontro
material,Materiale
may,Maggio
meal,pasto
measure,misurare
meat,la carne
medical,medico
meeting,riunione
memory,memoria
metal,metallo
middle,mezzo
military,militare
milk,latte
mind,mente
mine,il mio
minute,minuto
mist,nebbia
mixed,misto
money,i soldi
monkey,scimmia
month,mese
moon,luna
morning,mattina
mother,madre
motion,movimento
mountain,montagna
mouth,bocca
move,spostare
much,tanto
muscle,muscolo
music,musica
nail,chiodo
name,nome
narrow,stretto
nation,nazione
natural,naturale
near,vicino
necessary,necessario
neck,collo
need,bisogno
needle,ago
nerve,nervo
net,rete
new,nuovo
news,notizia
night,notte
no,No
noise,rumore
normal,normale
north,nord
nose,naso
not,non
note,Nota
now,adesso
number,numero
nut,noce
observation,osservazione
of,di
off,spento
offer,offerta
office,ufficio
oil,il petrolio
old,vecchio
on,su
only,solo
open,aprire
operation,operazione
opinion,opinione
opposite,di fronte
or,o
orange,arancia
order,ordine
organization,organizzazione
ornament,ornamento
other,Altro
out,fuori
oven,forno
over,terminato
owner,proprietario
pain,dolore
paint,dipingere
paper,carta
parallel,parallelo
parcel,pacco
part,parte
past,passato
paste,impasto
payment,pagamento
peace,pace
pen,penna
pencil,matita
person,persona
physical,fisico
picture,immagine
pig,maiale
pin,spillo
pipe,tubo
place,luogo
plane,aereo
plant,pianta
plate,piatto
play,giocare a
please,per favore
pleasure,piacere
plough,aratro
pocket,tasca
point,punto
poison,veleno
polish,polacco
political,politico
poor,povero
porter,facchino
position,posizione
possible,possibile
pot,vaso
potato,Patata
powder,polvere
power,potenza
present,presente
price,prezzo
print,Stampa
prison,prigione
private,privato
probable,probabile
process,processi
produce,produrre
profit,profitto
property,proprietà
prose,prosa
protest,protesta
public,pubblico
pull,tiro
pump,pompa
punishment,punizione
purpose,scopo
push,spingere
put,mettere
quality,qualità
question,domanda
quick,Presto
quiet,tranquillo
quite,abbastanza
rail,sbarra
rain,piovere
range,allineare
rat,ratto
rate,Vota
ray,Ray
reaction,reazione
reading,lettura
ready,pronto
reason,Motivo
receipt,ricevuta
record,disco
red,rosso
regret,rimpiangere
regular,regolare
relation,relazione
religion,religione
representative,rappresentante
request,richiesta
respect,rispetto
responsible,responsabile
rest,riposo
reward,ricompensa
rhythm,ritmo
rice,Riso
right,Giusto
ring,squillo
river,fiume
road,strada
rod,asta
roll,rotolo
roof,tetto
room,camera
root,radice
rough,grezzo
round,il giro
rub,strofinare
rule,regola
run,correre
sad,triste
safe,sicuro
sail,vela
salt,sale
same,stesso
sand,sabbia
say,dire
scale,scala
school,scuola
science,scienza
scissors,forbici
screw,vite
sea,mare
seat,posto a sedere
second,secondo
secret,segreto
secretary,segretario
see,vedere
seed,seme
seem,sembrare
selection,selezione
self,se stesso
send,Spedire
sense,senso
separate,separato
serious,grave
servant,servitore
sex,sesso
shade,ombra
shake,scuotere
shame,vergogna
sharp,acuto
sheep,pecora
shelf,mensola
ship,nave
shirt,camicia
shock,shock
shoe,scarpa
short,breve
shut,chiuso
side,lato
sign,cartello
silk,seta
silver,argento
simple,semplice
sister,sorella
size,taglia
skin,pelle
skirt,gonna
sky,cielo
sleep,dormire
slip,scontrino
slope,pendenza
slow,Lento
small,piccolo
smash,schiacciata
smell,odore
smile,Sorridi
smoke,Fumo
smooth,liscio
snake,serpente
sneeze,starnuto
snow,neve
so,così
soap,sapone
society,società
sock,calzino
soft,morbido
solid,solido
some,alcuni
son,figlio
song,canzone
sort,ordinare
sound,suono
soup,zuppa
south,Sud
space,spazio
spade,vanga
special,speciale
sponge,spugna
spoon,cucchiaio
spring,molla
square,quadrato
stage,palcoscenico
stamp,francobollo
star,stella
start,inizio
statement,dichiarazione
station,stazione
steam,vapore
steel,acciaio
stem,stelo
step,fare un passo
stick,bastone
sticky,appiccicoso
stiff,rigido
still,ancora
stitch,cucire
stocking,calza
stomach,stomaco
stone,pietra
stop,fermare
store,negozio
story,storia
straight,dritto
strange,strano
street,strada
stretch,stirata
strong,forte
structure,struttura
substance,sostanza
such,come
sudden,improvviso
sugar,zucchero
suggestion,suggerimento
summer,estate
sun,sole
support,sostegno
surprise,sorpresa
sweet,dolce
swim,nuotata
system,sistema
table,tavolo
tail,coda
take,prendere
talk,parlare
tall,alto
taste,gusto
tax,imposta
teaching,insegnamento
tendency,tendenza
test,test
than,di
that,quello
the,il
then,poi
theory,teoria
there,là
thick,spesso
thin,magro
thing,cosa
this,questo
though,anche se
thought,pensiero
thread,filo
throat,gola
through,attraverso
thumb,pollice
thunder,tuono
ticket,biglietto
tight,stretto
till,fino
time,tempo
tin,lattina
tired,stanco
to,a
toe,dito del piede
together,insieme
tomorrow,Domani
tongue,lingua
tooth,dente
top,superiore
touch,tocco
town,cittadina
trade,commercio
train,treno
transport,trasporto
tray,vassoio
tree,albero
trick,trucco
trouble,problemi
trousers,pantaloni
TRUE,VERO
turn,giro
twist,intrecciare
umbrella,ombrello
under,sotto
unit,unità
up,su
use,utilizzo
value,valore
verse,versetto
very,molto
vessel,nave
view,Visualizza
violent,violento
voice,voce
waiting,in attesa
walk,camminare
wall,parete
war,la guerra
warm,caldo
wash,lavaggio
waste,rifiuto
watch,guarda
water,acqua
wave,onda
wax,cera
way,modo
weather,tempo metereologico
week,settimana
weight,peso
well,bene
west,ovest
wet,bagnato
wheel,ruota
when,quando
where,dove
while,mentre
whip,frusta
whistle,fischio
white,bianca
who,chi
why,perché
wide,largo
will,volere
wind,il vento
window,finestra
wine,vino
wing,ala
winter,inverno
wire,filo
wise,saggio
with,insieme a
woman,donna
wood,Di legno
wool,lana vergine
word,parola
work,opera
worm.,verme.
wound,ferita
writing,scrivere
wrong.,sbagliato.
year.,anno.
yellow,giallo
yes.,sì.
yesterday,ieri
you,voi
young.,giovane.
able,capace
account,account
angle,angolo
awake,sveglio
come,venire
glass,bicchiere
page,pagina