,English,Italian
0,about,di
1,acid,acido
2,across,attraverso
3,act,atto
4,addition,aggiunta
5,adjustment,Regolazione
6,advertisement,annuncio pubblicitario
7,after,dopo
8,again,ancora
9,against,contro
10,agreement,accordo
11,air,aria
12,all,tutti
13,almost,quasi
14,among,tra
15,amount,Quantità
16,amusement,divertimento
17,and,e
18,angry,arrabbiato
19,animal,animale
20,answer,Rispondere
21,ant,formica
22,any,qualunque
23,apparatus,Apparato
24,apple,Mela
25,approval,approvazione
26,arch,arco
27,argument,discussione
28,arm,braccio
29,army,esercito
30,art,arte
31,as,come
32,at,in
33,attack,attacco
34,attempt,tentativo
35,attention,Attenzione
36,attraction,attrazione
37,authority,autorità
38,automatic,automatico
39,baby,bambino
40,back,Indietro
41,bad,cattivo
42,bag,borsa
43,balance,equilibrio
44,ball,sfera
45,band,gruppo musicale
46,base,base
47,basin,bacino
48,basket,cestino
49,bath,bagno
50,be,essere
51,beautiful,bellissimo
52,because,perché
53,bed,letto
54,bee,ape
55,before,prima
56,behaviour,comportamento
57,belief,credenza
58,bell,campana
59,bent,piegato
60,berry,bacca
61,between,fra
62,bird,uccello
63,birth,nascita
64,bit,po
65,bite,morso
66,bitter,amaro
67,black,Nero
68,blade,lama
69,blood,sangue
70,blow,soffio
71,blue,blu
72,board,asse
73,boat,barca
74,body,corpo
75,boiling,bollente
76,bone,osso
77,book,prenotare
78,boot,stivale
79,bottle,bottiglia
80,box,scatola
81,boy,ragazzo
82,brain,cervello
83,brake,freno
84,branch,ramo
85,brass,ottone
86,bread,pane
87,breath,respiro
88,brick,mattone
89,bridge,ponte
90,bright,luminoso
91,broken,rotte
92,brother,fratello
93,brown,Marrone
94,brush,spazzola
95,bucket,secchio
96,building,costruzione
97,bulb,lampadina
98,burn,bruciare
99,burst,scoppiare
100,business,Attività commerciale
101,but,ma
102,butter,Burro
103,button,pulsante
104,by,di
105,cake,torta
106,camera,telecamera
107,canvas,tela
108,card,carta
109,care,cura
110,carriage,carrozza
111,cart,carrello
112,cat,gatto
113,cause,causa
114,certain,certo
115,chain,catena
116,chalk,gesso
117,chance,opportunità
118,change,modificare
119,cheap,a buon mercato
120,cheese,il formaggio
121,chemical,chimico
122,chest,petto
123,chief,capo
124,chin,mento
125,church,Chiesa
126,circle,cerchio
127,clean,pulito
128,clear,chiaro
129,clock,orologio
130,cloth,stoffa
131,cloud,nube
132,coal,carbone
133,coat,cappotto
134,cold,freddo
135,collar,collare
136,colour,colore
137,comb,pettine
138,comfort,comfort
139,committee,Comitato
140,common,comune
141,company,azienda
142,comparison,confronto
143,competition,concorrenza
144,complete,completare
145,complex,complesso
146,condition,condizione
147,connection,connessione
148,conscious,cosciente
149,control,controllo
150,cook,cucinare
151,copper,rame
152,copy,copia
153,cord,corda
154,cork,sughero
155,cotton,cotone
156,cough,tosse
157,country,nazione
158,cover,copertina
159,cow,mucca
160,crack,crepa
161,credit,credito
162,crime,crimine
163,cruel,crudele
164,crush,schiacciare
165,cry,gridare
166,cup,tazza
167,current,attuale
168,curtain,tenda
169,curve,curva
170,cushion,cuscino
171,cut,tagliare
172,damage,danno
173,danger,Pericolo
174,dark,scuro
175,daughter,figlia
176,day,giorno
177,dead,morto
178,dear,caro
179,death,Morte
180,debt,debito
181,decision,decisione
182,deep,profondo
183,degree,livello
184,delicate,delicato
185,dependent,dipendente
186,design,progetto
187,desire,desiderio
188,destruction,distruzione
189,detail,dettaglio
190,development,sviluppo
191,different,diverso
192,digestion,digestione
193,direction,direzione
194,dirty,sporco
195,discovery,scoperta
196,discussion,discussione
197,disease,patologia
198,disgust,disgusto
199,distance,distanza
200,distribution,distribuzione
201,division,divisione
202,do,fare
203,dog,cane
204,door,porta
205,doubt,dubbio
206,down,in basso
207,drain,drenare
208,drawer,cassetto
209,dress,vestire
210,drink,bere
211,driving,guida
212,drop,gocciolare
213,dry,asciutto
214,dust,polvere
215,ear,orecchio
216,early,presto
217,earth,terra
218,east,est
219,edge,bordo
220,education,formazione scolastica
221,effect,effetto
222,egg,uovo
223,elastic,elastico
224,electric,elettrico
225,end,fine
226,engine,motore
227,enough,abbastanza
228,equal,pari
229,error,errore
230,even,anche
231,event,evento
232,ever,sempre
233,every,ogni
234,example,esempio
235,exchange,scambio
236,existence,esistenza
237,expansion,espansione
238,experience,Esperienza
239,expert,esperto
240,face,viso
241,fact,fatto
242,fall,cade
243,FALSE,Falso
244,family,famiglia
245,far,lontano
246,farm,azienda agricola
247,fat,Grasso
248,father,padre
249,fear,paura
250,feather,piuma
251,feeble,flebile
252,feeling,sensazione
253,female,femmina
254,fertile,fertile
255,fiction,Fiction
256,field,campo
257,fight,combattere
258,finger,dito
259,fire,fuoco
260,first,primo
261,fish,pesce
262,fixed,fisso
263,flag,bandiera
264,flame,fiamma
265,flat,piatto
266,flight,volo
267,floor,pavimento
268,flower,fiore
269,fly,volare
270,fold,piega
271,food,cibo
272,foolish,folle
273,foot,piede
274,for,per
275,force,forza
276,fork,forchetta
277,form,modulo
278,forward,inoltrare
279,fowl,pollo
280,frame,telaio
281,free,libero
282,frequent,frequente
283,friend,amico
284,from,a partire dal
285,front,davanti
286,fruit,frutta
287,full,completo
288,future,futuro
289,garden,giardino
290,general,generale
291,get,ottenere
292,girl,ragazza
293,give,dare
294,glove,guanto
295,go,andare
296,goat,capra
297,gold,oro
298,good,Buono
299,government,governo
300,grain,grano
301,grass,erba
302,great,grande
303,green,verde
304,grey,grigio
305,grip,presa
306,group,gruppo
307,growth,crescita
308,guide,guida
309,gun,pistola
310,hair,capelli
311,hammer,martello
312,hand,mano
313,hanging,sospeso
314,happy,felice
315,harbour,porto
316,hard,difficile
317,harmony,armonia
318,hat,cappello
319,hate,odiare
320,have,avere
321,he,lui
322,head,testa
323,healthy,sano
324,hearing,udito
325,heart,cuore
326,heat,calore
327,help,aiuto
328,here,qui
329,high,alto
330,history,storia
331,hole,buco
332,hollow,vuoto
333,hook,gancio
334,hope,speranza
335,horn,corno
336,horse,cavallo
337,hospital,Ospedale
338,hour,ora
339,house,Casa
340,how,come
341,humour,umorismo
342,I,io
343,ice,Ghiaccio
344,idea,idea
345,if,Se
346,ill,malato
347,important,importante
348,impulse,impulso
349,in,in
350,increase,aumento
351,industry,industria
352,ink,inchiostro
353,insect,insetto
354,instrument,strumento
355,insurance,assicurazione
356,interest,interesse
357,invention,invenzione
358,iron,ferro da stiro
359,island,isola
360,jelly,gelatina
361,jewel,gioiello
362,join,partecipare
363,journey,viaggio
364,judge,giudice
365,jump,salto
366,keep,conservare
367,kettle,bollitore
368,key,chiave
369,kick,calcio
370,kind,tipo
371,kiss,bacio
372,knee,ginocchio
373,knife,coltello
374,knot,nodo
375,knowledge,conoscenza
376,land,sbarcare
377,language,linguaggio
378,last,Ultimo
379,late,tardi
380,laugh,ridere
381,law,legge
382,lead,piombo
383,leaf,foglia
384,learning,apprendimento
385,leather,pelle
386,left,sinistra
387,leg,gamba
388,let,permettere
389,letter,lettera
390,level,livello
391,library,biblioteca
392,lift,sollevare
393,light,leggero
394,like,come
395,limit,limite
396,line,linea
397,linen,biancheria
398,lip,labbro
399,liquid,liquido
400,list,elenco
401,little,poco
402,living,vita
403,lock,serratura
404,long,lungo
405,look,Guarda
406,loose,sciolto
407,loss,perdita
408,loud,ad alta voce
409,love,amore
410,low,basso
411,machine,macchina
412,make,fare
413,male,maschio
414,man,uomo
415,manager,gestore
416,map,carta geografica
417,mark,marchio
418,market,mercato
419,married,sposato
420,mass,messa
421,match,incontro
422,material,Materiale
423,may,Maggio
424,meal,pasto
425,measure,misurare
426,meat,la carne
427,medical,medico
428,meeting,riunione
429,memory,memoria
430,metal,metallo
431,middle,mezzo
432,military,militare
433,milk,latte
434,mind,mente
435,mine,il mio
436,minute,minuto
437,mist,nebbia
438,mixed,misto
439,money,i soldi
440,monkey,scimmia
441,month,mese
442,moon,luna
443,morning,mattina
444,mother,madre
445,motion,movimento
446,mountain,montagna
447,mouth,bocca
448,move,spostare
449,much,tanto
450,muscle,muscolo
451,music,musica
452,nail,chiodo
453,name,nome
454,narrow,stretto
455,nation,nazione
456,natural,naturale
457,near,vicino
458,necessary,necessario
459,neck,collo
460,need,bisogno
461,needle,ago
462,nerve,nervo
463,net,rete
464,new,nuovo
465,news,notizia
466,night,notte
467,no,No
468,noise,rumore
469,normal,normale
470,north,nord
471,nose,naso
472,not,non
473,note,Nota
474,now,adesso
475,number,numero
476,nut,noce
477,observation,osservazione
478,of,di
479,off,spento
480,offer,offerta
481,office,ufficio
482,oil,il petrolio
483,old,vecchio
484,on,su
485,only,solo
486,open,aprire
487,operation,operazione
488,opinion,opinione
489,opposite,di fronte
490,or,o
491,orange,arancia
492,order,ordine
493,organization,organizzazione
494,ornament,ornamento
495,other,Altro
496,out,fuori
497,over,terminato
498,owner,proprietario
499,paint,dipingere
500,paper,carta
501,parallel,parallelo
502,parcel,pacco
503,part,parte
504,past,passato
505,paste,impasto
506,payment,pagamento
507,peace,pace
508,pen,penna
509,pencil,matita
510,person,persona
511,physical,fisico
512,picture,immagine
513,pig,maiale
514,pin,spillo
515,pipe,tubo
516,place,luogo
517,plane,aereo
518,plant,pianta
519,plate,piatto
520,play,giocare a
521,please,per favore
522,pleasure,piacere
523,plough,aratro
524,pocket,tasca
525,point,punto
526,poison,veleno
527,polish,polacco
528,political,politico
529,poor,povero
530,porter,facchino
531,position,posizione
532,possible,possibile
533,pot,vaso
534,potato,Patata
535,powder,polvere
536,power,potenza
537,present,presente
538,price,prezzo
539,print,Stampa
540,prison,prigione
541,private,privato
542,probable,probabile
543,process,processi
544,produce,produrre
545,profit,profitto
546,property,proprietà
547,prose,prosa
548,protest,protesta
549,public,pubblico
550,pull,tiro
551,pump,pompa
552,punishment,punizione
553,purpose,scopo
554,push,spingere
555,put,mettere
556,quality,qualità
557,question,domanda
558,quick,Presto
559,quiet,tranquillo
560,quite,abbastanza
561,rail,sbarra
562,rain,piovere
563,range,allineare
564,rat,ratto
565,rate,Vota
566,ray,Ray
567,reaction,reazione
568,reading,lettura
569,ready,pronto
570,reason,Motivo
571,receipt,ricevuta
572,record,disco
573,red,rosso
574,regret,rimpiangere
575,regular,regolare
576,relation,relazione
577,religion,religione
578,representative,rappresentante
579,request,richiesta
580,respect,rispetto
581,responsible,responsabile
582,reward,ricompensa
583,rhythm,ritmo
584,rice,Riso
585,right,Giusto
586,ring,squillo
587,river,fiume
588,road,strada
589,rod,asta
590,roll,rotolo
591,roof,tetto
592,room,camera
593,root,radice
594,rough,grezzo
595,round,il giro
596,rub,strofinare
597,rule,regola
598,run,correre
599,sad,triste
600,safe,sicuro
601,sail,vela
602,salt,sale
603,same,stesso
604,sand,sabbia
605,say,dire
606,scale,scala
607,school,scuola
608,science,scienza
609,scissors,forbici
610,screw,vite
611,sea,mare
612,seat,posto a sedere
613,second,secondo
614,secret,segreto
615,secretary,segretario
616,see,vedere
617,seed,seme
618,seem,sembrare
619,selection,selezione
620,self,se stesso
621,send,Spedire
622,sense,senso
623,separate,separato
624,serious,grave
625,servant,servitore
626,sex,sesso
627,shade,ombra
628,shake,scuotere
629,shame,vergogna
630,sharp,acuto
631,sheep,pecora
632,shelf,mensola
633,ship,nave
634,shirt,camicia
635,shock,shock
636,shoe,scarpa
637,short,breve
638,shut,chiuso
639,side,lato
640,sign,cartello
641,silk,seta
642,silver,argento
643,simple,semplice
644,sister,sorella
645,size,taglia
646,skin,pelle
647,skirt,gonna
648,sky,cielo
649,sleep,dormire
650,slip,scontrino
651,slope,pendenza
652,slow,Lento
653,small,piccolo
654,smash,schiacciata
655,smell,odore
656,smile,Sorridi
657,smoke,Fumo
658,smooth,liscio
659,snake,serpente
660,sneeze,starnuto
661,snow,neve
662,so,così
663,soap,sapone
664,society,società
665,sock,calzino
666,soft,morbido
667,solid,solido
668,some,alcuni
669,son,figlio
670,song,canzone
671,sort,ordinare
672,sound,suono
673,soup,zuppa
674,south,Sud
675,space,spazio
676,spade,vanga
677,special,speciale
678,sponge,spugna
679,spoon,cucchiaio
680,spring,molla
681,square,quadrato
682,stage,palcoscenico
683,stamp,francobollo
684,star,stella
685,start,inizio
686,statement,dichiarazione
687,station,stazione
688,steam,vapore
689,steel,acciaio
690,stem,stelo
691,step,fare un passo
692,stick,bastone
693,sticky,appiccicoso
694,stiff,rigido
695,still,ancora
696,stitch,cucire
697,stocking,calza
698,stomach,stomaco
699,stone,pietra
700,stop,fermare
701,store,negozio
702,story,storia
703,straight,dritto
704,strange,strano
705,street,strada
706,stretch,stirata
707,strong,forte
708,structure,struttura
709,substance,sostanza
710,such,come
711,sudden,improvviso
712,sugar,zucchero
713,suggestion,suggerimento
714,summer,estate
715,sun,sole
716,support,sostegno
717,surprise,sorpresa
718,sweet,dolce
719,swim,nuotata
720,system,sistema
721,table,tavolo
722,tail,coda
723,take,prendere
724,talk,parlare
725,tall,alto
726,taste,gusto
727,tax,imposta
728,teaching,insegnamento
729,tendency,tendenza
730,test,test
731,than,di
732,that,quello
733,the,il
734,then,poi
735,theory,teoria
736,there,là
737,thick,spesso
738,thin,magro
739,thing,cosa
740,this,questo
741,though,anche se
742,thought,pensiero
743,thread,filo
744,throat,gola
745,through,attraverso
746,thumb,pollice
747,thunder,tuono
748,ticket,biglietto
749,tight,stretto
750,till,fino
751,time,tempo
752,tin,lattina
753,tired,stanco
754,to,a
755,toe,dito del piede
756,together,insieme
757,tomorrow,Domani
758,tongue,lingua
759,tooth,dente
760,top,superiore
761,touch,tocco
762,town,cittadina
763,trade,commercio
764,train,treno
765,transport,trasporto
766,tray,vassoio
767,tree,albero
768,trick,trucco
769,trouble,problemi
770,trousers,pantaloni
771,TRUE,VERO
772,turn,giro
773,twist,intrecciare
774,umbrella,ombrello
775,under,sotto
776,unit,unità
777,up,su
778,use,utilizzo
779,value,valore
780,verse,versetto
781,very,molto
782,vessel,nave
783,view,Visualizza
784,violent,violento
785,voice,voce
786,waiting,in attesa
787,walk,camminare
788,war,la guerra
789,warm,caldo
790,wash,lavaggio
791,waste,rifiuto
792,watch,guarda
793,water,acqua
794,wave,onda
795,wax,cera
796,way,modo
797,weather,tempo metereologico
798,week,settimana
799,weight,peso
800,well,bene
801,west,ovest
802,wet,bagnato
803,wheel,ruota
804,when,quando
805,where,dove
806,while,mentre
807,whip,frusta
808,whistle,fischio
809,white,bianca
810,who,chi
811,why,perché
812,wide,largo
813,will,volere
814,wind,il vento
815,window,finestra
816,wine,vino
817,wing,ala
818,winter,inverno
819,wire,filo
820,wise,saggio
821,with,insieme a
822,woman,donna
823,wood,Di legno
824,wool,lana vergine
825,word,parola
826,work,opera
827,worm.,verme.
828,wound,ferita
829,writing,scrivere
830,wrong.,sbagliato.
831,year.,anno.
832,yellow,giallo
833,yes.,sì.
834,yesterday,ieri
835,you,voi
836,young.,giovane.
837,able,capace
838,account,account
839,angle,angolo
840,awake,sveglio
841,come,venire
842,glass,bicchiere
843,page,pagina
